Cell,Gene,Ct,Call
D0_M1_mes_24_nu,ICOS,999,Fail
D0_M1_mes_24_nu,IL2,999,Fail
D0_M1_mes_24_nu,IL5,999,Fail
D0_M1_mes_24_nu,MYB,999,Fail
D0_M1_mes_24_nu,PTGIR,999,Fail
D0_M1_mes_24_nu,TBX21,999,Fail
D0_M1_mes_24_nu,VDR,20.43526941,Pass
D0_M1_mes_24_nu,IFNG,999,Fail
D0_M1_mes_24_nu,FOXP3,999,Fail
D0_M1_mes_24_nu,CXCR5,999,Fail
D0_M1_mes_24_nu,PTPRC,999,Fail
D0_M1_mes_24_nu,ITGAM,999,Fail
D0_M1_mes_24_nu,ATP5A1,999,Fail
D0_M1_mes_24_nu,VIPR1,999,Fail
D0_M1_mes_24_nu,TCF7,999,Fail
D0_M1_mes_24_nu,PTH,999,Fail
D0_M1_mes_24_nu,MYCN,999,Fail
D0_M1_mes_24_nu,IL6,999,Fail
D0_M1_mes_24_nu,IL21,999,Fail
D0_M1_mes_24_nu,IFNGR1,999,Fail
D0_M1_mes_24_nu,FSHB,999,Fail
D0_M1_mes_24_nu,CXCR6,999,Fail
D0_M1_mes_24_nu,NCAM1,999,Fail
D0_M1_mes_24_nu,SELL,999,Fail
D0_M1_mes_24_nu,ITGAX,999,Fail
D0_M1_mes_24_nu,ZBTB16,999,Fail
D0_M1_mes_24_nu,TCFEC,999,Fail
D0_M1_mes_24_nu,RORA,999,Fail
D0_M1_mes_24_nu,NCF1,999,Fail
D0_M1_mes_24_nu,IL7R,999,Fail
D0_M1_mes_24_nu,IL23R,999,Fail
D0_M1_mes_24_nu,IL10,999,Fail
D0_M1_mes_24_nu,CD69,999,Fail
D0_M1_mes_24_nu,GATA2,16.90547329,Pass
D0_M1_mes_24_nu,CYP11A1,999,Fail
D0_M1_mes_24_nu,BATF,999,Fail
D0_M1_mes_24_nu,BCL2L11,999,Fail
D0_M1_mes_24_nu,ZC3H12C,999,Fail
D0_M1_mes_24_nu,TG,999,Fail
D0_M1_mes_24_nu,RORC,999,Fail
D0_M1_mes_24_nu,PHF1,999,Fail
D0_M1_mes_24_nu,IL9,999,Fail
D0_M1_mes_24_nu,IL25R,999,Fail
D0_M1_mes_24_nu,GATA3,999,Fail
D0_M1_mes_24_nu,IL27RA,999,Fail
D0_M1_mes_24_nu,E2F8,999,Fail
D0_M1_mes_24_nu,CD19,999,Fail
D0_M1_mes_24_nu,IL2RA,999,Fail
D0_M1_mes_24_nu,BCL2,999,Fail
D0_M1_mes_24_nu,ZFP36,999,Fail
D0_M1_mes_24_nu,TGFB1,999,Fail
D0_M1_mes_24_nu,RUNX3,999,Fail
D0_M1_mes_24_nu,POLR2A,999,Fail
D0_M1_mes_24_nu,IRF8,999,Fail
D0_M1_mes_24_nu,IL12RB2,999,Fail
0-69,ACTN1,999,Fail
0-69,CCR2,999,Fail
0-69,CD33,999,Fail
0-69,CD8A,999,Fail
0-69,EIF2B1,999,Fail
0-69,HBB_B2,999,Fail
0-69,IL13,999,Fail
0-69,IL1RL1_R,999,Fail
0-69,JHM1D,999,Fail
0-69,POU6F1,999,Fail
0-69,SCML4,999,Fail
0-69,TRIB2,999,Fail
0-69,AHR,999,Fail
0-69,CCR5,999,Fail
0-69,CD3E,999,Fail
