	Rora cKO-Skin-MC-Treg-Replicate1	Rora cKO-Skin-MC-Treg-Replicate2	Rora cKO-Skin-MC-Treg-Replicate3	Rora cKO-Skin-Treg-Replicate1	Rora cKO-Skin-Treg-Replicate2	Rora cKO-Skin-Treg-Replicate3	WT-LN-Treg-Replicate1	WT-LN-Treg-Replicate2	WT-LN-Treg-Replicate3	WT-Skin-MC-Treg-Replicate1	WT-Skin-MC-Treg-Replicate2	WT-Skin-MC-Treg-Replicate3	WT-Skin-Treg-Replicate1	WT-Skin-Treg-Replicate2	WT-Skin-Treg-Replicate3
Klhl13	0	0	4	4	0	0	0	0	3	0	0	0	0	0	0
Klhl14	0	0	0	0	0	0	12	9	19	0	0	0	0	0	0
Klhl15	378	286	339	381	372	437	148	134	188	400	435	377	383	386	243
Klhl17	99	124	105	220	235	123	381	391	346	112	170	113	248	201	122
Klhl18	173	115	115	255	263	218	256	269	315	332	265	288	240	242	223
Klhl2	250	275	462	306	712	448	124	97	144	261	810	199	224	136	195
Klhl20	275	240	220	311	356	280	988	921	1175	199	374	335	146	205	167
Klhl21	381	458	555	778	1580	1445	259	193	318	527	806	369	756	1076	546
Klhl22	67	78	97	91	118	70	384	401	363	140	140	83	63	63	64
Klhl23	0	1	3	1	1	0	2	0	6	0	43	6	8	0	0
Klhl24	1584	1628	1692	1824	2361	2469	1122	1111	1152	2308	1736	2269	1848	1501	1719
Klhl25	774	866	706	772	1201	1098	1081	1264	1312	877	1256	1022	1407	846	1050
Klhl26	147	99	130	246	156	202	415	528	473	239	230	209	95	101	67
Klhl28	760	641	902	980	1292	1042	578	545	736	1046	859	982	875	628	858
Klhl29	4	1	0	0	13	0	2	0	3	8	1	2	4	0	0
Klhl3	28	24	13	6	8	23	54	72	84	39	19	14	18	2	16
Klhl30	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Klhl31	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0
Klhl32	0	0	0	8	16	3	0	2	0	1	0	1	1	0	0
Klhl33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl35	3	0	6	7	14	4	5	5	9	1	27	4	11	0	0
Klhl36	137	220	188	193	219	188	691	797	747	124	205	228	167	203	133
Klhl38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl4	1	1	6	0	3	0	36	30	7	0	0	15	0	0	0
