"","well","treatment","libraryid","plate","libraryname","mouse","total_reads","gene_count","filename1","filename2"
"333","G9","our_TGFb",81,1,"samp_81",1,242180.067125669,242180,"s81_S81_L001_R1_001.fastq.gz","s81_S81_L002_R1_001.fastq.gz"
"296","G10","our_IL2",82,1,"samp_82",1,361410.310319134,361410,"s82_S82_L001_R1_001.fastq.gz","s82_S82_L002_R1_001.fastq.gz"
"49","B1","mCcl7",109,2,"samp_109",2,190003.388679517,190003,"s109_S109_L001_R1_001.fastq.gz","s109_S109_L002_R1_001.fastq.gz"
"67","B2","mcxcl20",110,2,"samp_110",2,205669.32283185,205669,"s110_S110_L001_R1_001.fastq.gz","s110_S110_L002_R1_001.fastq.gz"
"72","B3","ifnb",111,2,"samp_111",2,197192.901733023,197192,"s111_S111_L001_R1_001.fastq.gz","s111_S111_L002_R1_001.fastq.gz"
"73","B4","mcxcl10",112,2,"samp_112",2,201887.163263087,201887,"s112_S112_L001_R1_001.fastq.gz","s112_S112_L002_R1_001.fastq.gz"
"77","B5","mil5",113,2,"samp_113",2,221568.024585337,221568,"s113_S113_L001_R1_001.fastq.gz","s113_S113_L002_R1_001.fastq.gz"
"82","B6","mcxcl16",114,2,"samp_114",2,340052.778449579,340052,"s114_S114_L001_R1_001.fastq.gz","s114_S114_L002_R1_001.fastq.gz"
"90","B8","_il4",116,2,"samp_116",2,260370.154712115,260370,"s116_S116_L001_R1_001.fastq.gz","s116_S116_L002_R1_001.fastq.gz"
"93","B9","sdf1a",117,2,"samp_117",2,247390.676832975,247390,"s117_S117_L001_R1_001.fastq.gz","s117_S117_L002_R1_001.fastq.gz"
"53","B10","il13",118,2,"samp_118",2,176255.52253578,176255,"s118_S118_L001_R1_001.fastq.gz","s118_S118_L002_R1_001.fastq.gz"
"99","C1","mccl2",121,2,"samp_121",2,233540.132500431,233540,"s121_S121_L001_R1_001.fastq.gz","s121_S121_L002_R1_001.fastq.gz"
"115","C2","mtnfsf18",122,2,"samp_122",2,174280.864961962,174280,"s122_S122_L001_R1_001.fastq.gz","s122_S122_L002_R1_001.fastq.gz"
"119","C3","mccl22",123,2,"samp_123",2,205964.892419797,205964,"s123_S123_L001_R1_001.fastq.gz","s123_S123_L002_R1_001.fastq.gz"
"121","C4","mcxcl9",124,2,"samp_124",2,228993.592378931,228993,"s124_S124_L001_R1_001.fastq.gz","s124_S124_L002_R1_001.fastq.gz"
"126","C5","mtnfa",125,2,"samp_125",2,154624.575658915,154624,"s125_S125_L001_R1_001.fastq.gz","s125_S125_L002_R1_001.fastq.gz"
"129","C6","mil18",126,2,"samp_126",2,245431.074374317,245431,"s126_S126_L001_R1_001.fastq.gz","s126_S126_L002_R1_001.fastq.gz"
"133","C7","mccl2",127,2,"samp_127",2,270068.285870304,270068,"s127_S127_L001_R1_001.fastq.gz","s127_S127_L002_R1_001.fastq.gz"
"138","C8","ifna",128,2,"samp_128",2,156110.944842037,156110,"s128_S128_L001_R1_001.fastq.gz","s128_S128_L002_R1_001.fastq.gz"
"141","C9","mil21",129,2,"samp_129",2,173305.411382433,173305,"s129_S129_L001_R1_001.fastq.gz","s129_S129_L002_R1_001.fastq.gz"
"101","C10","mil33",130,2,"samp_130",2,224275.104641272,224275,"s130_S130_L001_R1_001.fastq.gz","s130_S130_L002_R1_001.fastq.gz"
"148","D1","wt",133,2,"samp_133",2,270862.158940643,270862,"s133_S133_L001_R1_001.fastq.gz","s133_S133_L002_R1_001.fastq.gz"
"162","D2","wt",134,2,"samp_134",2,173237.87416216,173237,"s134_S134_L001_R1_001.fastq.gz","s134_S134_L002_R1_001.fastq.gz"
"168","D3","wt",135,2,"samp_135",2,220806.054803886,220806,"s135_S135_L001_R1_001.fastq.gz","s135_S135_L002_R1_001.fastq.gz"
"170","D4","wt",136,2,"samp_136",2,292221.075108751,292221,"s136_S136_L001_R1_001.fastq.gz","s136_S136_L002_R1_001.fastq.gz"
"176","D5","wt",137,2,"samp_137",2,224837.950131858,224837,"s137_S137_L001_R1_001.fastq.gz","s137_S137_L002_R1_001.fastq.gz"
"180","D6","mIL10",138,2,"samp_138",2,242484.175054505,242484,"s138_S138_L001_R1_001.fastq.gz","s138_S138_L002_R1_001.fastq.gz"
"182","D7","2",139,2,"samp_139",2,257882.633834887,257882,"s139_S139_L001_R1_001.fastq.gz","s139_S139_L002_R1_001.fastq.gz"
"186","D8","our_il4",140,2,"samp_140",2,253362.438781256,253362,"s140_S140_L001_R1_001.fastq.gz","s140_S140_L002_R1_001.fastq.gz"
